eventName,triggerTime,Count,RecordCnt,SeqMax,SeqMin,Biome,Block,DestructionMethod,Difficulty,Dim,FeetPosX,FeetPosY,FeetPosZ,Health,Light,Mode,Namespace,NearbyAnimals,NearbyMonsters,NearbyOther,NearbyPlayers,NearbyVillagers,PlayerBiome,PlayerGameMode,PlayerLevel,PlayerSpeed,Role,RotX,RotY,TimeOfDay,ToolItemType,Type,Variant,WorldFeature,editionType,PlacementMethod
BlockBroken,2021-02-15 15:14:02.160977,1,1,14127,14127,1,stone,0.0,PEACEFUL,0,11,64,-7,20,15,1,minecraft,5,0,8,1,0,plains,1,0,0.1086751744151115,0,66.59112548828125,-168.5939025878906,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:06.920981,1,1,14196,14196,1,stone,0.0,PEACEFUL,0,11,64,-7,20,15,1,minecraft,5,0,8,1,0,plains,1,0,0.0052687809802591,0,66.59112548828125,-168.5939025878906,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:06.948051,1,1,14462,14462,1,grass,0.0,PEACEFUL,0,11,64,-7,20,15,1,minecraft,5,0,8,1,0,plains,1,0,0.0,0,61.51466369628906,140.04443359375,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:06.967996,1,1,14702,14702,1,grass,0.0,PEACEFUL,0,11,64,-7,20,15,1,minecraft,5,0,8,1,0,plains,1,0,0.0,0,51.36172485351563,120.9330444335938,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:22.661464,1,1,17807,17807,1,stone,0.0,PEACEFUL,0,11,64,-7,20,15,1,minecraft,5,0,8,1,0,plains,1,0,0.0,0,56.43815612792969,178.8642272949219,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:23.262855,1,1,17893,17893,1,stone,0.0,PEACEFUL,0,11,64,-7,20,15,1,minecraft,6,0,8,1,0,plains,1,0,0.0,0,69.27861022949219,158.8570556640625,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:23.856266,1,1,18029,18029,1,stone,0.0,PEACEFUL,0,11,64,-8,20,15,1,minecraft,6,0,8,1,0,plains,1,0,0.0957256257534027,0,66.29241943359375,-174.5662231445313,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:24.567366,1,1,18063,18063,1,stone,0.0,PEACEFUL,0,11,64,-8,20,15,1,minecraft,6,0,8,1,0,plains,1,0,0.0046473694965243,0,68.38275146484375,176.7739868164063,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:27.109317,1,1,18129,18129,1,dirt,0.0,PEACEFUL,0,11,64,-8,20,15,1,minecraft,6,0,8,1,0,plains,1,0,0.0002232494298368,0,68.68136596679688,168.7113647460938,5000,0,3,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:27.130361,1,1,18185,18185,1,stone,0.0,PEACEFUL,0,11,64,-8,20,15,1,minecraft,6,0,8,1,0,plains,1,0,9.5367431640625e-06,0,72.86195373535156,160.6487426757813,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:27.146386,1,1,18327,18327,1,stone,0.0,PEACEFUL,0,11,64,-8,20,15,1,minecraft,6,0,8,1,0,plains,1,0,0.0,0,74.65361022949219,-108.2738952636719,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:27.217719,1,1,18386,18386,1,stone,0.0,PEACEFUL,0,11,64,-8,20,15,1,minecraft,6,0,8,1,0,plains,1,0,0.0,0,64.50076293945312,-109.169677734375,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:27.267584,1,1,18440,18440,1,dirt,0.0,PEACEFUL,0,11,64,-8,20,15,1,minecraft,6,0,8,1,0,plains,1,0,0.0,0,59.42428588867188,-105.8849182128906,5000,0,3,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:27.314972,1,1,18467,18467,1,stone,0.0,PEACEFUL,0,11,64,-8,20,15,1,minecraft,6,0,8,1,0,plains,1,0,0.0,0,57.03535461425781,-104.9891052246094,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:27.393763,1,1,18873,18873,1,grass,0.0,PEACEFUL,0,14,64,-3,20,15,1,minecraft,5,0,8,1,0,plains,1,0,0.0016542332014068,0,83.62899780273438,-59.59970092773438,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:27.718543,1,1,18878,18878,1,grass,0.0,PEACEFUL,0,14,63,-3,20,15,1,minecraft,5,0,8,1,0,plains,1,0,0.0003454684338066,0,60.33714294433594,-98.41961669921876,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:30.053863,1,1,18889,18889,1,grass,0.0,PEACEFUL,0,14,63,-3,20,15,1,minecraft,5,0,8,1,0,plains,1,0,1.96604996745009e-05,0,35.55215454101563,-103.1974487304688,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:30.501665,1,1,18951,18951,1,grass,0.0,PEACEFUL,0,14,63,-3,20,15,1,minecraft,5,0,8,1,0,plains,1,0,0.0,0,30.17709350585938,-102.6002197265625,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:31.663352,1,1,19013,19013,1,stone,0.0,PEACEFUL,0,15,63,-3,20,15,1,minecraft,5,0,8,1,0,plains,1,0,9.021170616149902,0,72.87893676757812,-131.8644409179688,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.468579,1,1,19016,19016,1,stone,0.0,PEACEFUL,0,15,64,-3,20,15,1,minecraft,5,0,8,1,0,plains,1,0,4.13003396987915,0,84.8236083984375,-159.0382690429688,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.668896,1,1,19068,19068,1,stone,0.0,PEACEFUL,0,16,63,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,6.254565238952637,0,71.38587951660156,140.940185546875,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.725744,1,1,19107,19107,1,dirt,0.0,PEACEFUL,0,16,63,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.3725160360336304,0,50.48287963867188,118.8426513671875,5000,0,3,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.741702,1,1,19153,19153,1,grass,0.0,PEACEFUL,0,16,63,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0180634297430515,0,28.982666015625,70.7657470703125,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.767640,1,1,19157,19157,1,stone,0.0,PEACEFUL,0,16,63,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0008882107795216,0,42.12168884277344,83.00894165039062,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.814510,1,1,19207,19207,1,dirt,0.0,PEACEFUL,0,16,63,-2,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.2736384272575378,0,47.79537963867188,120.0372009277344,5000,0,3,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.836721,1,1,19234,19234,1,stone,0.0,PEACEFUL,0,16,63,-2,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0132798077538609,0,46.60092163085938,140.0443725585938,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.876571,1,1,19292,19292,1,grass,0.0,PEACEFUL,0,16,63,-2,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0003501751343719,0,43.91337585449219,-175.7606811523438,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.912475,1,1,19401,19401,1,grass,0.0,PEACEFUL,0,15,63,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.3435086905956268,0,44.80923461914063,176.1766967773438,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:32.940412,1,1,19461,19461,1,grass,0.0,PEACEFUL,0,15,63,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0166541803628206,0,44.51063537597656,157.0653686523438,5000,0,2,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:33.410898,1,1,19696,19696,1,stone,0.0,PEACEFUL,0,15,64,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,7.566364288330078,0,67.50405883789062,-110.9614562988281,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:33.551522,1,1,19701,19701,1,stone,0.0,PEACEFUL,0,15,62,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,11.68121242523193,0,67.50405883789062,-110.9614868164063,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:33.617346,1,1,19704,19704,1,stone,0.0,PEACEFUL,0,15,61,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,13.00790023803711,0,67.50405883789062,-110.96142578125,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:33.721068,1,1,19707,19707,1,stone,0.0,PEACEFUL,0,15,61,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,4.367050647735596,0,65.41374206542969,-110.0656127929688,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:33.955976,1,1,19710,19710,1,stone,0.0,PEACEFUL,0,15,61,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0529644675552845,0,80.04586791992188,-109.4683532714844,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:34.204864,1,1,19714,19714,1,stone,0.0,PEACEFUL,0,15,60,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,4.630523681640625,0,68.101318359375,-37.20367431640625,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:36.637028,1,1,19721,19721,1,stone,0.0,PEACEFUL,0,15,62,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0002288818359375,0,79.14993286132812,94.7840576171875,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:36.934225,1,1,19723,19723,1,stone,0.0,PEACEFUL,0,15,62,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0,0,61.233154296875,86.4227294921875,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:37.194529,1,1,19725,19725,1,stone,0.0,PEACEFUL,0,15,62,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0,0,58.84422302246094,46.40821838378906,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:37.434888,1,1,19728,19728,1,stone,0.0,PEACEFUL,0,15,62,-4,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0,0,56.45529174804688,39.5400390625,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:37.735136,1,1,19730,19730,1,stone,0.0,PEACEFUL,0,15,62,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.2842882871627808,0,57.64974975585938,37.151123046875,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:38.132819,1,1,19735,19735,1,stone,0.0,PEACEFUL,0,14,62,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.2853409051895142,0,51.67747497558594,44.91513061523438,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:38.491858,1,1,19738,19738,1,stone,0.0,PEACEFUL,0,14,62,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.1994498372077942,0,37.94120788574219,41.92897033691406,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:38.806026,1,1,19740,19740,1,stone,0.0,PEACEFUL,0,14,62,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.4435348510742188,0,38.23983764648438,42.8248291015625,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:39.034408,1,1,19743,19743,1,stone,0.0,PEACEFUL,0,14,62,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.184788703918457,0,42.12184143066406,85.82537841796875,5000,0,1,0.0,0,pocket,
BlockBroken,2021-02-15 15:14:39.285734,1,1,19745,19745,1,stone,0.0,PEACEFUL,0,14,62,-3,20,15,1,minecraft,6,0,9,1,0,plains,1,0,0.0008535385131835,0,39.13569641113281,76.26971435546875,5000,0,1,0.0,0,pocket,
